make,year,vehicle_numbers,vehicle_percentage_of_total
BSA,2021,29122,0.07%
OTHER AGRIC/CONSTRUCTIONAL,2020,28997,0.07%
DUCATI,2021,28561,0.07%
BSA,2020,28545,0.07%
OTHER AGRIC/CONSTRUCTIONAL,2021,28540,0.07%
CASE IH,2022,28422,0.07%
CASE IH,2021,28138,0.07%
OTHER AGRIC/CONSTRUCTIONAL,2022,28081,0.07%
ABARTH,2021,28070,0.07%
BSA,2019,27899,0.07%
LEXMOTO,2021,27854,0.07%
CHRYSLER,2022,27764,0.07%
CASE IH,2020,27518,0.07%
RENAULT TRUCKS,2020,27482,0.07%
SSANGYONG,2022,27404,0.07%
CASE IH,2019,27286,0.07%
DAIHATSU,2019,27247,0.07%
DUCATI,2020,27187,0.07%
BSA,2018,27056,0.07%
LEXMOTO,2022,27055,0.07%
CASE IH,2018,26950,0.07%
DUCATI,2019,26815,0.07%
ABARTH,2020,26501,0.07%
LEXMOTO,2020,26489,0.07%
RENAULT TRUCKS,2019,26268,0.07%
BENTLEY,2022,26133,0.06%
DUCATI,2018,26028,0.07%
SSANGYONG,2021,25842,0.06%
BENTLEY,2021,25454,0.06%
BENTLEY,2019,25033,0.06%
RENAULT TRUCKS,2018,25022,0.06%
TESLA,2019,24893,0.06%
ABARTH,2019,24892,0.06%
LAMBRETTA,2022,24686,0.06%
BENTLEY,2020,24637,0.06%
LONDON TAXIS INT.,2018,24457,0.06%
SSANGYONG,2020,24327,0.06%
DAIHATSU,2020,24217,0.06%
LAMBRETTA,2021,24130,0.06%
BENTLEY,2018,24030,0.06%
SSANGYONG,2019,23351,0.06%
LAMBRETTA,2020,23025,0.06%
ABARTH,2018,22163,0.06%
ASTON MARTIN,2022,21803,0.05%
SSANGYONG,2018,21763,0.06%
CUPRA,2022,21710,0.05%
DAIHATSU,2021,21595,0.05%
LAMBRETTA,2019,21585,0.05%
ASTON MARTIN,2021,21329,0.05%
LEXMOTO,2019,21079,0.05%
LONDON TAXIS INT.,2019,20852,0.05%
LDV,2018,20800,0.05%
ASTON MARTIN,2019,20711,0.05%
KUBOTA,2022,20521,0.05%
ASTON MARTIN,2020,20507,0.05%
LAMBRETTA,2018,20187,0.05%
ASTON MARTIN,2018,19625,0.05%
KUBOTA,2021,19573,0.05%
LEXMOTO,2018,19552,0.05%
DAIHATSU,2022,19505,0.05%
KUBOTA,2020,18666,0.05%
KUBOTA,2019,17964,0.05%
LDV,2019,17929,0.04%
ROYAL ENFIELD,2022,17918,0.04%
ISUZU TRUCKS,2022,17262,0.04%
MANITOU,2022,17223,0.04%
KUBOTA,2018,16949,0.04%
MANITOU,2021,16359,0.04%
CLAAS,2022,16090,0.04%
CLAAS,2021,16011,0.04%
LDV,2020,16001,0.04%
APRILIA,2018,15902,0.04%
IVECO-FORD,2018,15762,0.04%
ISUZU TRUCKS,2021,15755,0.04%
APRILIA,2022,15750,0.04%
ALEXANDER DENNIS,2020,15662,0.04%
CLAAS,2020,15635,0.04%
CLAAS,2019,15570,0.04%
ALEXANDER DENNIS,2021,15565,0.04%
ALEXANDER DENNIS,2019,15458,0.04%
ALEXANDER DENNIS,2022,15440,0.04%
MANITOU,2020,15359,0.04%
MANITOU,2019,15295,0.04%
APRILIA,2019,15135,0.04%
OTHER ITALIAN,2018,15113,0.04%
APRILIA,2020,15041,0.04%
CLAAS,2018,14992,0.04%
MANITOU,2018,14850,0.04%
APRILIA,2021,14805,0.04%
ALEXANDER DENNIS,2018,14684,0.04%
OTHER ITALIAN,2019,14530,0.04%
LDV,2021,14314,0.04%
ISUZU TRUCKS,2020,14285,0.04%
LONDON TAXIS INT.,2020,14021,0.04%
ROYAL ENFIELD,2021,14003,0.03%
OTHER ITALIAN,2020,13861,0.03%
ISUZU TRUCKS,2019,13700,0.03%
IVECO-FORD,2019,13627,0.03%
OTHER ITALIAN,2021,13366,0.03%
ISUZU TRUCKS,2018,13102,0.03%
KYMCO,2020,13092,0.03%
OTHER ITALIAN,2022,13037,0.03%
LONDON TAXIS INT.,2021,12970,0.03%
DODGE,2018,12816,0.03%
FORDSON,2022,12608,0.03%
KYMCO,2022,12605,0.03%
KYMCO,2021,12567,0.03%
FERRARI,2022,12543,0.03%
LDV,2022,12510,0.03%
FORDSON,2021,12433,0.03%
FORDSON,2020,12392,0.03%
FORDSON,2019,12334,0.03%
TESLA,2018,12251,0.03%
POLESTAR,2022,12160,0.03%
FORDSON,2018,12151,0.03%
KYMCO,2019,12057,0.03%
KYMCO,2018,12047,0.03%
FERRARI,2021,12022,0.03%
DODGE,2019,12001,0.03%
DAEWOO,2018,11835,0.03%
MASERATI,2022,11450,0.03%
IVECO-FORD,2020,11431,0.03%
LOTUS,2019,11238,0.03%
LOTUS,2018,11194,0.03%
LONDON TAXIS INT.,2022,11169,0.03%
MASERATI,2021,11136,0.03%
FERRARI,2020,11129,0.03%
LOTUS,2021,11076,0.03%
DODGE,2020,11058,0.03%
LOTUS,2022,11051,0.03%
FORD NEW HOLLAND,2018,10957,0.03%
FERRARI,2019,10955,0.03%
DENNIS,2018,10875,0.03%
NORTON,2022,10800,0.03%
LOTUS,2020,10779,0.03%
NORTON,2021,10763,0.03%
FORD NEW HOLLAND,2019,10758,0.03%
ROYAL ENFIELD,2020,10729,0.03%
FORD NEW HOLLAND,2020,10630,0.03%
MASERATI,2020,10603,0.03%
MASERATI,2019,10595,0.03%
FORD NEW HOLLAND,2021,10580,0.03%
NORTON,2020,10513,0.03%
DAVID BROWN,2019,10456,0.03%
NORTON,2019,10435,0.03%
DAVID BROWN,2018,10417,0.03%
DODGE,2021,10390,0.03%
FORD NEW HOLLAND,2022,10374,0.03%
DAVID BROWN,2020,10368,0.03%
DAVID BROWN,2021,10354,0.03%
ROLLS ROYCE,2022,10348,0.03%
DAVID BROWN,2022,10334,0.03%
FERRARI,2018,10284,0.03%
INFINITI,2019,10237,0.03%
DENNIS,2019,10188,0.03%
IVECO-FORD,2021,10183,0.03%
MASERATI,2018,10157,0.03%
INFINITI,2020,10090,0.03%
NORTON,2018,10083,0.03%
INFINITI,2021,10068,0.02%
ROLLS ROYCE,2021,10064,0.02%
ROLLS ROYCE,2019,10012,0.03%
SYM,2021,9972,0.02%
SYM,2022,9955,0.02%
INFINITI,2022,9944,0.02%
INFINITI,2018,9920,0.03%
ROLLS ROYCE,2018,9719,0.02%
ROLLS ROYCE,2020,9705,0.02%
DENNIS,2020,9560,0.02%
DODGE,2022,9512,0.02%
SYM,2020,9398,0.02%
DENNIS,2021,9393,0.02%
AJS,2018,9281,0.02%
SYM,2018,9281,0.02%
AJS,2020,9272,0.02%
INT. HARVESTER,2018,9221,0.02%
DENNIS,2022,9208,0.02%
AJS,2019,9156,0.02%
INT. HARVESTER,2019,9140,0.02%
AJS,2021,9107,0.02%
POLARIS,2022,9088,0.02%
INT. HARVESTER,2020,9077,0.02%
INT. HARVESTER,2021,9019,0.02%
IVECO-FORD,2022,9010,0.02%
ROYAL ENFIELD,2019,9002,0.02%
INT. HARVESTER,2022,8975,0.02%
AJS,2022,8959,0.02%
SYM,2019,8915,0.02%
CATERPILLAR,2018,8376,0.02%
POLARIS,2021,8296,0.02%
CATERPILLAR,2019,8295,0.02%
DAEWOO,2019,8203,0.02%
CATERPILLAR,2020,8041,0.02%
MAXUS,2022,8021,0.02%
FENDT,2022,7973,0.02%
CATERPILLAR,2021,7911,0.02%
MITSUBISHI FUSO,2021,7891,0.02%
MITSUBISHI FUSO,2019,7818,0.02%
CATERPILLAR,2022,7802,0.02%
MOTO GUZZI,2022,7775,0.02%
MITSUBISHI FUSO,2020,7721,0.02%
MITSUBISHI FUSO,2022,7693,0.02%
PROTON,2018,7618,0.02%
LEVC,2022,7597,0.02%
FENDT,2021,7595,0.02%
CUPRA,2021,7591,0.02%
MITSUBISHI FUSO,2018,7572,0.02%
POLARIS,2020,7403,0.02%
THWAITES,2022,7330,0.02%
MOTO GUZZI,2021,7320,0.02%
THWAITES,2019,7315,0.02%
KEEWAY,2022,7289,0.02%
THWAITES,2021,7269,0.02%
KEEWAY,2021,7172,0.02%
BEDFORD,2018,7092,0.02%
FENDT,2020,7062,0.02%
BEDFORD,2019,6901,0.02%
MORGAN,2022,6820,0.02%
THWAITES,2020,6811,0.02%
MORGAN,2021,6795,0.02%
MORGAN,2019,6785,0.02%
THWAITES,2018,6759,0.02%
FENDT,2019,6735,0.02%
MORGAN,2018,6734,0.02%
VESPA (DOUGLAS),2021,6711,0.02%
MOTO GUZZI,2020,6689,0.02%
TALBOT,2018,6680,0.02%
VESPA (DOUGLAS),2022,6674,0.02%
HUSQVARNA,2022,6660,0.02%
VESPA (DOUGLAS),2020,6648,0.02%
MERLO,2022,6623,0.02%
MCC,2018,6586,0.02%
ROYAL ENFIELD,2018,6583,0.02%
MORGAN,2020,6565,0.02%
POLARIS,2019,6476,0.02%
BEDFORD,2020,6473,0.02%
MERLO,2021,6440,0.02%
MOTO GUZZI,2019,6417,0.02%
TALBOT,2019,6412,0.02%
VESPA (DOUGLAS),2018,6409,0.02%
BEDFORD,2021,6396,0.02%
VESPA (DOUGLAS),2019,6387,0.02%
FENDT,2018,6384,0.02%
BEDFORD,2022,6332,0.02%
VALTRA,2022,6275,0.02%
VELOCETTE,2021,6213,0.02%
SINNIS,2022,6210,0.02%
MOTO GUZZI,2018,6186,0.02%
VELOCETTE,2020,6182,0.02%
VELOCETTE,2019,6168,0.02%
VELOCETTE,2022,6166,0.02%
VELOCETTE,2018,6092,0.02%
MERLO,2020,6082,0.02%
DAIMLER,2018,6058,0.02%
PROTON,2019,6047,0.02%
HUSQVARNA,2021,6040,0.01%
DAIMLER,2019,6019,0.02%
BENELLI,2022,6006,0.01%
TALBOT,2021,5943,0.01%
POLARIS,2018,5941,0.02%
TALBOT,2020,5937,0.01%
MERLO,2019,5934,0.01%
SINNIS,2021,5901,0.01%
DAIMLER,2021,5861,0.01%
VALTRA,2021,5840,0.01%
DAEWOO,2020,5826,0.01%
KEEWAY,2020,5818,0.01%
