make,year,vehicle_numbers,vehicle_percentage_of_total
COVENTRY CLIMAX,2019,260,0.00%
COVENTRY CLIMAX,2021,260,0.00%
FANTIC MOTOR,2018,260,0.00%
PGO,2019,260,0.00%
JINLUN,2020,259,0.00%
REVA,2019,259,0.00%
DIECI,2019,258,0.00%
JUNGHEINRICH,2019,258,0.00%
PGO,2020,258,0.00%
COVENTRY CLIMAX,2020,257,0.00%
JUNGHEINRICH,2018,257,0.00%
GARELLI,2018,256,0.00%
OTHER/COMMERCIAL/THORNEYCROFT,2022,256,0.00%
REWACO,2020,256,0.00%
ARTISAN,2021,255,0.00%
JINLUN,2019,255,0.00%
SWM,2022,255,0.00%
TYM,2018,255,0.00%
BMC,2021,254,0.00%
KNAUS,2018,254,0.00%
OTHER/COMMERCIAL/THORNEYCROFT,2020,254,0.00%
GREEVES,2021,253,0.00%
OTHER/COMMERCIAL/THORNEYCROFT,2021,253,0.00%
DINLI,2020,252,0.00%
ZHONGNENG,2022,252,0.00%
COVENTRY CLIMAX,2022,251,0.00%
MOTO MORINI,2021,251,0.00%
SWM,2019,251,0.00%
ARIEL,2021,250,0.00%
BMC,2020,250,0.00%
MOTO MORINI,2020,250,0.00%
TGB,2020,250,0.00%
DINLI,2019,249,0.00%
HUMMER,2020,249,0.00%
HUONIAO,2020,249,0.00%
MONTESA,2019,249,0.00%
BOOM,2018,248,0.00%
HERALD,2019,248,0.00%
MONTESA,2021,248,0.00%
BOOM,2019,247,0.00%
SIROMER,2018,247,0.00%
SIROMER,2019,247,0.00%
MOBILVETTA,2020,245,0.00%
REWACO,2019,245,0.00%
GREEVES,2022,244,0.00%
JIANSHE,2018,244,0.00%
SITCAR,2018,244,0.00%
IVECO FORD,2018,243,0.00%
BOB CAT,2018,241,0.00%
SCARAB,2018,241,0.00%
VELOSOLEX,2018,241,0.00%
GREEVES,2020,240,0.00%
BAJAJ,2019,239,0.00%
SMITHS,2019,239,0.00%
BYD,2020,238,0.00%
MONTESA,2020,238,0.00%
HURLIMANN,2022,237,0.00%
JINLUN,2021,237,0.00%
MONTESA,2018,236,0.00%
SETRA,2020,236,0.00%
STEYR,2019,236,0.00%
STEYR,2018,234,0.00%
TEMSA,2018,234,0.00%
SACHS,2019,233,0.00%
SKYJET,2018,232,0.00%
STEYR,2022,232,0.00%
TATA,2018,232,0.00%
TOMOS,2018,232,0.00%
HONLEY,2019,231,0.00%
MOTO MORINI,2019,231,0.00%
SITCAR,2019,231,0.00%
STEYR,2021,231,0.00%
CARBODIES,2021,229,0.00%
HURLIMANN,2021,228,0.00%
DIECI,2018,226,0.00%
PILOTE,2019,226,0.00%
REVA,2020,226,0.00%
CPI,2021,225,0.00%
STEYR,2020,225,0.00%
TRANSBUS INT,2022,225,0.00%
MBK,2018,224,0.00%
BCS,2022,223,0.00%
CARBODIES,2020,223,0.00%
ITALJET,2018,223,0.00%
SACHS,2020,223,0.00%
WHITE KNUCKLE,2021,223,0.00%
BOOM,2021,221,0.00%
NIPPONIA,2018,221,0.00%
SWM,2018,221,0.00%
ZERO,2019,221,0.00%
STOTHERT AND PITT,2019,220,0.00%
BCS,2021,219,0.00%
BOOM,2022,219,0.00%
CROMPTON (LEYLAND),2018,219,0.00%
REWACO,2018,219,0.00%
STOTHERT AND PITT,2018,219,0.00%
SUNLIGHT,2021,219,0.00%
ARIEL,2020,218,0.00%
YAMASAKI,2021,218,0.00%
GREEVES,2019,217,0.00%
SHIBAURA,2018,217,0.00%
STOTHERT AND PITT,2020,217,0.00%
STOTHERT AND PITT,2021,217,0.00%
AC (ELECTRIC),2021,215,0.00%
LHY,2020,215,0.00%
BMC,2022,214,0.00%
HONLEY,2020,214,0.00%
AC (ELECTRIC),2022,213,0.00%
HURLIMANN,2020,213,0.00%
MARCOS,2022,213,0.00%
SCUTUM,2022,213,0.00%
STOTHERT AND PITT,2022,213,0.00%
HUONIAO,2021,212,0.00%
SHIBAURA,2021,212,0.00%
SILENCE,2022,212,0.00%
DINLI,2021,211,0.00%
IVECO FORD,2019,211,0.00%
BCS,2020,210,0.00%
BOOM,2020,210,0.00%
BRISTOL,2019,210,0.00%
JUNGHEINRICH,2020,210,0.00%
AGRIFAC,2022,209,0.00%
SUPERBYKE,2019,209,0.00%
AC (ELECTRIC),2020,208,0.00%
BRISTOL,2022,208,0.00%
HURLIMANN,2019,208,0.00%
BEELINE,2019,207,0.00%
RAPIDO,2018,207,0.00%
REVA,2021,207,0.00%
SUNLIGHT,2020,207,0.00%
TOMOS,2019,207,0.00%
AC (ELECTRIC),2019,206,0.00%
AC,2022,205,0.00%
BRISTOL,2018,205,0.00%
BRISTOL,2020,205,0.00%
GROVE,2022,205,0.00%
LADA,2022,205,0.00%
MOTO MORINI,2018,205,0.00%
CROMPTON (LEYLAND),2019,204,0.00%
JUNGHEINRICH,2021,204,0.00%
ORION,2020,204,0.00%
YANMAR,2022,204,0.00%
BAJAJ,2018,203,0.00%
SHIBAURA,2019,203,0.00%
SHIBAURA,2020,203,0.00%
SUNLIGHT,2022,203,0.00%
BRISTOL,2021,202,0.00%
AC (ELECTRIC),2018,201,0.00%
BCS,2019,201,0.00%
DINLI,2022,201,0.00%
JONWAY,2019,201,0.00%
MARCOS,2019,201,0.00%
HURLIMANN,2018,200,0.00%
LADA,2021,200,0.00%
MARCOS,2018,200,0.00%
YANMAR,2018,200,0.00%
AGRIFAC,2021,199,0.00%
SACHS,2021,199,0.00%
SITCAR,2021,199,0.00%
TEMSA,2020,199,0.00%
YANMAR,2019,199,0.00%
CARBODIES,2022,198,0.00%
MARCOS,2021,198,0.00%
TOMOS,2020,198,0.00%
BRIXTON,2022,197,0.00%
GROVE,2021,197,0.00%
ITALJET,2019,197,0.00%
JIANSHE,2019,197,0.00%
SHIBAURA,2022,197,0.00%
SMITHS,2020,197,0.00%
YANMAR,2020,197,0.00%
YANMAR,2021,196,0.00%
MARCOS,2020,195,0.00%
ITALJET,2021,194,0.00%
ORION,2021,193,0.00%
REVA,2022,193,0.00%
HSUN,2021,192,0.00%
ITALJET,2020,192,0.00%
JINLUN,2022,192,0.00%
MOBILVETTA,2019,192,0.00%
MOTOBECANE,2022,192,0.00%
NIESMANN + BISCHOFF,2022,192,0.00%
AC,2021,191,0.00%
BCS,2018,189,0.00%
GREEVES,2018,189,0.00%
AJP,2021,188,0.00%
ARIEL,2019,188,0.00%
JUNGHEINRICH,2022,188,0.00%
MALAGUTI,2018,188,0.00%
SMITHS,2021,188,0.00%
CROMPTON (LEYLAND),2020,187,0.00%
HORWIN,2021,187,0.00%
AC,2020,186,0.00%
NIESMANN + BISCHOFF,2021,186,0.00%
WINGET,2019,186,0.00%
AC,2019,185,0.00%
CROMPTON (LEYLAND),2021,185,0.00%
GROVE,2020,185,0.00%
MOTOBECANE,2021,185,0.00%
TOMOS,2021,185,0.00%
ZHONGNENG,2021,185,0.00%
WINGET,2018,184,0.00%
MBK,2019,183,0.00%
ROADLESS,2021,183,0.00%
WINGET,2020,183,0.00%
ROADLESS,2018,182,0.00%
SUKIDA,2018,182,0.00%
GINETTA,2022,181,0.00%
ORION,2022,181,0.00%
ROADLESS,2019,181,0.00%
ZONGSHEN,2018,181,0.00%
GUY,2019,180,0.00%
HOLDEN,2021,180,0.00%
PGO,2021,180,0.00%
SITCAR,2020,180,0.00%
SITCAR,2022,180,0.00%
ROADLESS,2022,179,0.00%
GUY,2018,178,0.00%
IVECO FORD,2020,178,0.00%
WINGET,2021,178,0.00%
CPI,2022,177,0.00%
KIDEN,2018,177,0.00%
LADA,2020,177,0.00%
ROADLESS,2020,177,0.00%
GROVE,2019,176,0.00%
SACHS,2022,176,0.00%
HONLEY,2021,175,0.00%
AC,2018,173,0.00%
BRIXTON,2019,173,0.00%
FREIGHT ROVER,2018,173,0.00%
GINETTA,2018,173,0.00%
HOLDEN,2019,173,0.00%
HUONIAO,2022,173,0.00%
JIAJUE,2022,173,0.00%
UM,2018,173,0.00%
AJP,2019,172,0.00%
AGRIFAC,2020,171,0.00%
AJP,2020,171,0.00%
ARTISAN,2020,171,0.00%
CROMPTON (LEYLAND),2022,171,0.00%
MOTO ROMA,2018,171,0.00%
VMOTO,2018,171,0.00%
WINGET,2022,171,0.00%
GUY,2020,170,0.00%
HOLDEN,2022,170,0.00%
TATA,2019,170,0.00%
AJP,2022,169,0.00%
GINETTA,2021,169,0.00%
GROVE,2018,169,0.00%
GUY,2022,169,0.00%
HOLDEN,2018,169,0.00%
HOLDEN,2020,169,0.00%
METROCAB,2019,169,0.00%
SUPERBYKE,2020,169,0.00%
URAL,2019,169,0.00%
GUY,2021,168,0.00%
LADA,2019,168,0.00%
URAL,2018,168,0.00%
URAL,2021,168,0.00%
BURSTNER,2019,167,0.00%
GINETTA,2020,167,0.00%
URAL,2020,167,0.00%
VERTIGO,2022,167,0.00%
OTHER JAPANESE/ASIAN,2019,166,0.00%
YIYING,2018,166,0.00%
ARIEL,2018,165,0.00%
BEELINE,2020,165,0.00%
GINETTA,2019,165,0.00%
MOTOBECANE,2020,165,0.00%
OTHER JAPANESE/ASIAN,2018,165,0.00%
NIESMANN + BISCHOFF,2020,164,0.00%
ORION,2018,164,0.00%
URAL,2022,164,0.00%
CORVETTE,2022,163,0.00%
MBK,2020,162,0.00%
TAMORETTI,2018,162,0.00%
CUPRA,2020,161,0.00%
WANGYE,2019,161,0.00%
MALAGUTI,2020,160,0.00%
MAN/VW,2018,160,0.00%
SMITHS,2022,160,0.00%
TOMOS,2022,160,0.00%
IVECO FORD,2021,159,0.00%
LADA,2018,159,0.00%
SKYJET,2019,159,0.00%
TRS,2022,159,0.00%
JIANSHE,2020,158,0.00%
SUNLIGHT,2019,158,0.00%
MOTOBECANE,2019,157,0.00%
ORION,2019,156,0.00%
AEON,2021,155,0.00%
AGRIFAC,2019,155,0.00%
MALAGUTI,2019,155,0.00%
ADRIA,2018,154,0.00%
CORVETTE,2021,154,0.00%
KARRIER,2019,154,0.00%
SFM,2018,154,0.00%
BUCHER,2022,153,0.00%
CORVETTE,2020,153,0.00%
OTHER JAPANESE/ASIAN,2020,153,0.00%
NIPPONIA,2019,152,0.00%
PILOTE,2018,152,0.00%
HERALD,2018,151,0.00%
HITACHI,2022,151,0.00%
NORTON VILL. TRIUMPH,2022,151,0.00%
SANTANA,2018,151,0.00%
JONWAY,2020,150,0.00%
MBK,2021,150,0.00%
PGO,2022,150,0.00%
SIMCA,2021,150,0.00%
SIMCA,2022,150,0.00%
KARRIER,2018,149,0.00%
KIDEN,2019,148,0.00%
SIMCA,2019,148,0.00%
SIMCA,2020,148,0.00%
MOTOBECANE,2018,147,0.00%
ARIIC,2019,146,0.00%
FREIGHT ROVER,2019,146,0.00%
BUGATTI,2018,145,0.00%
NORTON VILL. TRIUMPH,2021,145,0.00%
AJP,2018,144,0.00%
AEON,2020,143,0.00%
GOUPIL,2022,143,0.00%
KARRIER,2020,143,0.00%
LEYLAND NATIONAL,2022,143,0.00%
NIESMANN + BISCHOFF,2019,143,0.00%
OTHER JAPANESE/ASIAN,2021,142,0.00%
WHITE KNUCKLE,2022,141,0.00%
KARRIER,2021,140,0.00%
LANSING LINDE,2018,140,0.00%
SANTANA,2019,140,0.00%
MALAGUTI,2021,139,0.00%
FREIGHT ROVER,2020,138,0.00%
GENESIS,2021,138,0.00%
KARRIER,2022,138,0.00%
OTHER JAPANESE/ASIAN,2022,138,0.00%
SUKIDA,2019,138,0.00%
CORVETTE,2019,137,0.00%
KIDEN,2020,137,0.00%
MBK,2022,137,0.00%
SIMCA,2018,137,0.00%
ZONGSHEN,2019,137,0.00%
BUGATTI,2022,136,0.00%
MALAGUTI,2022,136,0.00%
TAMORETTI,2019,136,0.00%
AEON,2022,135,0.00%
CORVETTE,2018,135,0.00%
ALPINE,2018,134,0.00%
BUGATTI,2020,134,0.00%
IVECO FORD,2022,134,0.00%
KATO,2018,133,0.00%
KATO,2019,133,0.00%
TALARIA,2022,133,0.00%
BUGATTI,2021,132,0.00%
GENERAL MOTORS,2021,132,0.00%
HARBILT ELECTRIC,2018,132,0.00%
YAMASAKI,2020,132,0.00%
MOTO ROMA,2019,131,0.00%
NORTON VILL. TRIUMPH,2020,131,0.00%
ACCESS,2020,130,0.00%
AGRIFAC,2018,130,0.00%
ARIIC,2020,130,0.00%
GENERAL MOTORS,2022,130,0.00%
BUGATTI,2019,129,0.00%
JACOBSEN,2018,129,0.00%
MAXUS,2020,129,0.00%
NIESMANN + BISCHOFF,2018,129,0.00%
BATTISTINIS,2018,128,0.00%
CAPRI,2019,128,0.00%
JIANSHE,2021,128,0.00%
MAN/VW,2019,128,0.00%
CAPRI,2020,127,0.00%
GENERAL MOTORS,2020,127,0.00%
LEEWAY,2020,127,0.00%
CAPRI,2022,126,0.00%
NIPPI,2018,126,0.00%
NIPPONIA,2020,126,0.00%
SUKIDA,2020,126,0.00%
BATTISTINIS,2019,125,0.00%
CAPRI,2018,125,0.00%
LANSING LINDE,2019,125,0.00%
SKYJET,2020,125,0.00%
CAPRI,2021,124,0.00%
CLARK,2018,124,0.00%
FREIGHT ROVER,2021,124,0.00%
FREIGHT ROVER,2022,124,0.00%
MOTO ROMA,2020,124,0.00%
JACOBSEN,2019,123,0.00%
KING LONG,2018,123,0.00%
LEYLAND NATIONAL,2021,123,0.00%
NORTON VILL. TRIUMPH,2019,123,0.00%
SFM,2019,123,0.00%
SUPERBYKE,2021,123,0.00%
AEBI,2021,122,0.00%
AEBI,2022,122,0.00%
BEELINE,2021,122,0.00%
HONLEY,2022,122,0.00%
TAMORETTI,2020,122,0.00%
ACCESS,2018,121,0.00%
KATO,2020,121,0.00%
YIYING,2019,121,0.00%
ZONGSHEN,2020,121,0.00%
AEBI,2020,120,0.00%
LEYLAND REDLINE,2018,120,0.00%
NIPPI,2019,119,0.00%
SCORPA,2018,119,0.00%
UNIMOG,2022,119,0.00%
YADEA,2021,119,0.00%
BATTISTINIS,2021,118,0.00%
HARBILT ELECTRIC,2019,118,0.00%
JACOBSEN,2020,118,0.00%
SHINERAY,2018,118,0.00%
BATTISTINIS,2020,117,0.00%
LANSING LINDE,2020,117,0.00%
BATTISTINIS,2022,116,0.00%
KING LONG,2019,116,0.00%
TRS,2021,116,0.00%
LEYLAND AM,2021,115,0.00%
TATA,2020,115,0.00%
YINGANG,2018,115,0.00%
CARADO,2022,114,0.00%
MATHIEU,2022,114,0.00%
LANSING LINDE,2021,113,0.00%
LEYLAND NATIONAL,2019,113,0.00%
SCORPA,2019,113,0.00%
SHINERAY,2020,113,0.00%
AEBI,2019,112,0.00%
COSSACK,2022,112,0.00%
LEYLAND AM,2020,112,0.00%
LEYLAND AM,2022,112,0.00%
LEYLAND NATIONAL,2018,112,0.00%
LEYLAND REDLINE,2019,112,0.00%
PHEONIX,2018,112,0.00%
SANTANA,2020,112,0.00%
UNIMOG,2021,112,0.00%
MOTO ROMA,2021,111,0.00%
SUNRA,2022,111,0.00%
LEYLAND REDLINE,2021,110,0.00%
ZERO,2018,110,0.00%
KATO,2021,109,0.00%
LEEWAY,2021,109,0.00%
MAEVING,2022,109,0.00%
OTHER EAST EUROPEAN,2021,109,0.00%
ZHENHUA,2018,109,0.00%
ZONGSHEN,2021,108,0.00%
CARADO,2021,107,0.00%
CLARK,2021,107,0.00%
JIANSHE,2022,107,0.00%
LEEWAY,2022,107,0.00%
MAHINDRA,2022,107,0.00%
NORTON VILL. TRIUMPH,2018,107,0.00%
OTHER EAST EUROPEAN,2022,107,0.00%
BONSER,2018,106,0.00%
CLARK,2020,106,0.00%
COSSACK,2021,106,0.00%
LEYLAND REDLINE,2022,106,0.00%
PHEONIX,2021,106,0.00%
BONSER,2020,105,0.00%
GENERAL MOTORS,2019,105,0.00%
JACOBSEN,2021,105,0.00%
KIDEN,2021,105,0.00%
LEYLAND AM,2019,105,0.00%
AEBI,2018,104,0.00%
BONSER,2019,104,0.00%
GOUPIL,2021,104,0.00%
LEYLAND NATIONAL,2020,104,0.00%
LEYLAND REDLINE,2020,104,0.00%
SANTANA,2021,104,0.00%
SUPERBYKE,2022,104,0.00%
BASHAN,2020,103,0.00%
HITACHI,2021,103,0.00%
MOBILVETTA,2018,103,0.00%
PHEONIX,2019,103,0.00%
TATA,2021,103,0.00%
YIYING,2020,103,0.00%
CLARK,2019,102,0.00%
CORVUS,2022,102,0.00%
HSUN,2020,102,0.00%
KATO,2022,102,0.00%
LANSING LINDE,2022,102,0.00%
TAMORETTI,2021,102,0.00%
COLT,2022,101,0.00%
HARBILT ELECTRIC,2020,101,0.00%
VERTIGO,2021,101,0.00%
ARTISAN,2019,100,0.00%
HARTFORD,2018,100,0.00%
JINCHENG,2018,100,0.00%
OTHER EAST EUROPEAN,2018,100,0.00%
ALL WHEEL DRIVE,2018,99,0.00%
COSSACK,2020,99,0.00%
YINGANG,2019,99,0.00%
GENERAL MOTORS,2018,98,0.00%
HAKO,2022,98,0.00%
JOHN ALLEN,2018,98,0.00%
MAHINDRA,2018,98,0.00%
PHEONIX,2020,98,0.00%
SCORPA,2022,98,0.00%
SHINERAY,2019,98,0.00%
SUKIDA,2021,98,0.00%
BONSER,2021,97,0.00%
BONSER,2022,97,0.00%
JOHN ALLEN,2019,97,0.00%
GOUPIL,2018,96,0.00%
HARBILT ELECTRIC,2021,96,0.00%
JOHN ALLEN,2020,96,0.00%
LEYLAND AM,2018,96,0.00%
MAHINDRA,2020,96,0.00%
SCORPA,2020,96,0.00%
CLARK,2022,95,0.00%
ETRUSCO,2022,95,0.00%
HAOTIAN,2018,95,0.00%
JOHN ALLEN,2021,95,0.00%
JONWAY,2021,95,0.00%
MAHINDRA,2019,95,0.00%
MAHINDRA,2021,95,0.00%
NIPPI,2020,95,0.00%
DEMM,2018,94,0.00%
KING LONG,2021,94,0.00%
ZHENHUA,2019,94,0.00%
ZHENHUA,2020,94,0.00%
GOUPIL,2020,93,0.00%
JACOBSEN,2022,93,0.00%
MAN/VW,2020,93,0.00%
OTHER EAST EUROPEAN,2020,93,0.00%
RHON,2018,93,0.00%
SAKURA,2022,93,0.00%
ZONGSHEN,2022,93,0.00%
AEON,2019,92,0.00%
COLT,2021,92,0.00%
ELECTRIC MOTION,2022,92,0.00%
GOUPIL,2019,92,0.00%
JOHN ALLEN,2022,92,0.00%
KING LONG,2022,92,0.00%
NIPPONIA,2021,92,0.00%
OTHER EAST EUROPEAN,2019,92,0.00%
SANTANA,2022,92,0.00%
SUNLIGHT,2018,92,0.00%
ELECTRICARS,2018,91,0.00%
SCORPA,2021,91,0.00%
SFM,2020,91,0.00%
SILENCE,2021,91,0.00%
ACCESS,2021,90,0.00%
HARBILT ELECTRIC,2022,90,0.00%
SKYJET,2021,90,0.00%
YIYING,2021,90,0.00%
ZHENHUA,2021,90,0.00%
ARIIC,2021,89,0.00%
BENYE,2018,89,0.00%
COSSACK,2019,89,0.00%
ELECTRICARS,2019,89,0.00%
JINCHENG,2021,89,0.00%
THUMPSTAR,2022,89,0.00%
WHITLOCK BROS,2020,89,0.00%
BASHAN,2019,88,0.00%
BENYE,2019,88,0.00%
JINCHENG,2019,88,0.00%
ACCESS,2019,87,0.00%
COLT,2020,87,0.00%
SEGWAY,2021,87,0.00%
FARMTRAC,2022,86,0.00%
TRS,2020,86,0.00%
UNIMOG,2020,86,0.00%
WHITLOCK BROS,2018,86,0.00%
WHITLOCK BROS,2022,86,0.00%
BENYE,2020,85,0.00%
COLT,2019,85,0.00%
HARTFORD,2021,85,0.00%
JINCHENG,2020,85,0.00%
LVNENG,2022,85,0.00%
WHITLOCK BROS,2019,85,0.00%
WHITLOCK BROS,2021,85,0.00%
ALL WHEEL DRIVE,2019,84,0.00%
BASHAN,2021,83,0.00%
BRIXTON,2018,83,0.00%
NIPPI,2021,83,0.00%
ZHENHUA,2022,83,0.00%
BEELINE,2022,82,0.00%
ELECTRICARS,2020,82,0.00%
KING LONG,2020,82,0.00%
LINHAI,2022,82,0.00%
MAGIRUS DEUTZ,2018,82,0.00%
BASHAN,2022,81,0.00%
BIMOTA,2018,81,0.00%
MAGIRUS DEUTZ,2020,81,0.00%
MAGIRUS DEUTZ,2021,81,0.00%
MAN/VW,2021,81,0.00%
MATHIEU,2019,81,0.00%
SECMA,2018,81,0.00%
TM,2022,81,0.00%
BASHAN,2018,80,0.00%
TAMORETTI,2022,80,0.00%
BAROSSA,2018,79,0.00%
BRIT JEFFREY DIAMOND,2018,79,0.00%
ELECTRICARS,2021,79,0.00%
ELECTRICARS,2022,79,0.00%
ETRUSCO,2021,79,0.00%
UNIMOG,2019,79,0.00%
BENYE,2021,78,0.00%
COLT,2018,78,0.00%
DENNIS FIRE,2018,78,0.00%
HITACHI,2020,78,0.00%
MAGIRUS DEUTZ,2022,78,0.00%
METROCAB,2020,78,0.00%
ACCESS,2022,77,0.00%
MAGIRUS DEUTZ,2019,77,0.00%
MATHIEU,2021,77,0.00%
VOGE,2022,77,0.00%
BENYE,2022,76,0.00%
BIMOTA,2019,76,0.00%
GOVECS,2020,76,0.00%
MATHIEU,2018,76,0.00%
MGB,2021,76,0.00%
MOTO ROMA,2022,76,0.00%
NIPPONIA,2022,76,0.00%
BRIT JEFFREY DIAMOND,2019,75,0.00%
DEMM,2019,75,0.00%
DENNIS FIRE,2019,75,0.00%
GOVECS,2019,75,0.00%
YINGANG,2020,75,0.00%
AEON,2018,74,0.00%
GOVECS,2021,74,0.00%
SHINERAY,2021,74,0.00%
BIMOTA,2021,73,0.00%
BIMOTA,2022,73,0.00%
COSSACK,2018,72,0.00%
DENNIS FIRE,2020,72,0.00%
MORINI,2022,72,0.00%
SECMA,2019,72,0.00%
SPY RACING,2019,72,0.00%
BIMOTA,2020,71,0.00%
BOMBARDIER,2018,71,0.00%
BURSTNER,2018,71,0.00%
ELECTRIC MOTION,2021,71,0.00%
BRIT JEFFREY DIAMOND,2020,70,0.00%
GOVECS,2022,70,0.00%
MULTIDRIVE,2021,70,0.00%
SKYJET,2022,70,0.00%
TATA,2022,70,0.00%
GRINNALL,2018,69,0.00%
HARTFORD,2019,69,0.00%
NIPPI,2022,69,0.00%
SECMA,2020,69,0.00%
SUKIDA,2022,69,0.00%
SUR-RON,2019,69,0.00%
ADLY,2018,68,0.00%
ARTISAN,2018,68,0.00%
DENNIS FIRE,2021,68,0.00%
JINCHENG,2022,68,0.00%
MORINI,2021,68,0.00%
BOMBARDIER,2020,67,0.00%
HARTFORD,2020,67,0.00%
KIDEN,2022,67,0.00%
RHON,2019,67,0.00%
UNIMOG,2018,67,0.00%
BRIT JEFFREY DIAMOND,2021,66,0.00%
CARADO,2020,66,0.00%
HAOTIAN,2019,66,0.00%
JONWAY,2022,66,0.00%
MAYBACH,2019,66,0.00%
MOTOBI,2019,66,0.00%
MOTOBI,2020,66,0.00%
MULTIDRIVE,2020,66,0.00%
MULTIDRIVE,2022,66,0.00%
NEVAL,2018,66,0.00%
QUADRO,2021,66,0.00%
SFM,2021,66,0.00%
SHIRE,2018,66,0.00%
XGJAO,2018,66,0.00%
DEMM,2020,65,0.00%
HY-MAC LTD,2019,65,0.00%
LVNENG,2021,65,0.00%
MULTIDRIVE,2019,65,0.00%
PINZGAUER,2022,65,0.00%
UBCO,2022,65,0.00%
ALL WHEEL DRIVE,2020,64,0.00%
GRINNALL,2019,64,0.00%
HY-MAC LTD,2021,64,0.00%
KINROAD,2018,64,0.00%
MATHIEU,2020,64,0.00%
MOTOBI,2018,64,0.00%
RHON,2020,64,0.00%
TM,2020,64,0.00%
TM,2021,64,0.00%
WANGYE,2018,64,0.00%
BOMBARDIER,2021,63,0.00%
BRIT JEFFREY DIAMOND,2022,63,0.00%
CLAYTON,2019,63,0.00%
CLAYTON,2020,63,0.00%
ERIDER,2019,63,0.00%
HUATIAN,2018,63,0.00%
HY-MAC LTD,2018,63,0.00%
INDCAR,2022,63,0.00%
LINHAI,2021,63,0.00%
QUADRO,2020,63,0.00%
SECMA,2022,63,0.00%
SHIRE,2019,63,0.00%
BAROSSA,2020,62,0.00%
BOMBARDIER,2022,62,0.00%
HY-MAC LTD,2020,62,0.00%
ITINEO,2022,62,0.00%
MAN/VW,2022,62,0.00%
MORINI,2019,62,0.00%
MOTORHISPANIA,2018,62,0.00%
MULTIDRIVE,2018,62,0.00%
SFM,2022,62,0.00%
SHIRE,2020,62,0.00%
TGB,2019,62,0.00%
ARIIC,2022,61,0.00%
BOMBARDIER,2019,61,0.00%
CLAYTON,2021,61,0.00%
CLAYTON,2022,61,0.00%
LEYLAND SCOTSTOUN,2018,61,0.00%
LHY,2019,61,0.00%
ADLY,2019,60,0.00%
CLAYTON,2018,60,0.00%
DEMM,2021,60,0.00%
DENNIS FIRE,2022,60,0.00%
HAOTIAN,2020,60,0.00%
INDCAR,2021,60,0.00%
INVACAR,2022,60,0.00%
KINROAD,2019,60,0.00%
LINER,2019,60,0.00%
LINER,2020,60,0.00%
MORINI,2018,60,0.00%
NEVAL,2019,60,0.00%
SECMA,2021,60,0.00%
YINGANG,2021,60,0.00%
ADLY,2020,59,0.00%
ERIDER,2018,59,0.00%
HY-MAC LTD,2022,59,0.00%
INVACAR,2021,59,0.00%
LEYLAND SCOTSTOUN,2019,59,0.00%
LINER,2018,59,0.00%
LINER,2021,59,0.00%
LINER,2022,59,0.00%
MAYBACH,2018,59,0.00%
PHEONIX,2022,59,0.00%
FOSTI,2020,58,0.00%
LEYLAND SCOTSTOUN,2022,58,0.00%
MORINI,2020,58,0.00%
SHIRE,2021,58,0.00%
ERIDER,2020,57,0.00%
INDCAR,2019,57,0.00%
ITINEO,2021,57,0.00%
JINLING,2018,57,0.00%
LEYLAND SCOTSTOUN,2020,57,0.00%
SPY RACING,2020,57,0.00%
BAROSSA,2019,56,0.00%
GRINNALL,2020,56,0.00%
LONCIN,2018,56,0.00%
MAYBACH,2020,56,0.00%
SAKURA,2021,56,0.00%
ARIIC,2018,55,0.00%
GRINNALL,2021,55,0.00%
GRINNALL,2022,55,0.00%
TM,2019,55,0.00%
YIYING,2022,55,0.00%
BTM,2018,54,0.00%
EAGLE,2022,54,0.00%
KINROAD,2020,54,0.00%
QUADRO,2022,54,0.00%
DI BLASI,2018,53,0.00%
HARTFORD,2022,53,0.00%
HITACHI,2019,53,0.00%
LEYLAND SCOTSTOUN,2021,53,0.00%
MAYBACH,2021,53,0.00%
METROCAB,2021,53,0.00%
MOTOBI,2021,53,0.00%
QUADRO,2019,53,0.00%
SPY RACING,2018,53,0.00%
XGJAO,2019,53,0.00%
APPLIED SWEEPER,2018,52,0.00%
DI BLASI,2020,52,0.00%
MCW,2018,52,0.00%
NEVAL,2020,52,0.00%
RHON,2021,52,0.00%
SHIRE,2022,52,0.00%
YINGANG,2022,52,0.00%
ALL WHEEL DRIVE,2021,51,0.00%
BAROSSA,2021,51,0.00%
DE TOMASO,2021,51,0.00%
DI BLASI,2019,51,0.00%
HSUN,2019,51,0.00%
INVACAR,2018,51,0.00%
ITINEO,2020,51,0.00%
LE VOYAGEUR,2022,51,0.00%
WARTBURG,2019,51,0.00%
ERIDER,2021,50,0.00%
JINLING,2019,50,0.00%
MAYBACH,2022,50,0.00%
DE TOMASO,2022,49,0.00%
HOLMER EXXACT,2021,49,0.00%
MOTOBI,2022,49,0.00%
THUMPSTAR,2021,49,0.00%
BUCHER,2021,48,0.00%
HOLMER EXXACT,2022,48,0.00%
LINHAI,2018,48,0.00%
NEVAL,2021,48,0.00%
NEVAL,2022,48,0.00%
QUADRO,2018,48,0.00%
WARTBURG,2018,48,0.00%
DE TOMASO,2019,47,0.00%
LINHAI,2019,47,0.00%
LVTONG,2022,47,0.00%
RHON,2022,47,0.00%
TM,2018,47,0.00%
VECTRIX,2021,47,0.00%
WARTBURG,2022,47,0.00%
ADLY,2021,46,0.00%
